id,region_type,region,n_el,bilingual_content,twi_dual_content,integrated_esl,push_pull_esl,mono_para,bilingual_para,sheltered_content,other_instruct,tutoring,summer,credit_recovery,mentoring,distance_ed,other,acad_info_primary,cte_info_primary,translation_primary,interpreter_primary,receiving_content_primary,receiving_instruct_support_primary,acad_info_other,cte_info_other,translation_other,interpreter_other,receiving_content_other,receiving_instruct_support_other,resource_score,instruct_score,language_support_score,noninstruct_service_score,hs_parent_service_score,resource_score_c,instruct_score_c,language_support_score_c,noninstruct_service_score_c,hs_parent_service_score_c,bilingual_content_score,bilingual_content_score_c
1,suburb,southeast,100+,no,no,yes,yes,no,no,yes,no,no,yes,yes,no,no,no,yes,no,no,yes,some students,some students,some languages,none,none,some languages,no students,few students,8,3,2,2,1,-0.233850129198967,0.0594315245478034,0.856158484065461,-0.905254091300603,-0.244186046511628,2,-0.10594315245478
2,city,west,11-100,no,no,yes,yes,yes,yes,yes,yes,yes,no,no,no,no,no,yes,no,yes,yes,no students,most or all students,some languages,none,some languages,some languages,no students,no students,11.5,6,1,3,1.5,3.26614987080103,3.0594315245478,-0.143841515934539,0.0947459086993971,0.255813953488372,4,1.89405684754522
3,town,west,1-10,no,no,yes,yes,no,no,yes,no,yes,no,yes,yes,no,no,yes,yes,yes,yes,no students,some students,none,none,all languages,all languages,no students,no students,12,3,3,4,2,3.76614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,0.755813953488372,2,-0.10594315245478
4,city,southeast,100+,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,6,2,0,3,1,-2.23385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,-0.244186046511628,1.5,-0.60594315245478
5,town,central,11-100,no,no,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,all languages,all languages,no students,no students,6,2,0,2,2,-2.23385012919897,-0.940568475452197,-1.14384151593454,-0.905254091300603,0.755813953488372,1.5,-0.60594315245478
6,rural,west,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,some students,some students,all languages,all languages,all languages,all languages,no students,no students,11,3,0,4,4,2.76614987080103,0.0594315245478034,-1.14384151593454,1.0947459086994,2.75581395348837,2,-0.10594315245478
7,city,southeast,100+,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,some languages,some languages,no students,no students,6.5,2,0,3,1.5,-1.73385012919897,-0.940568475452197,-1.14384151593454,0.0947459086993971,0.255813953488372,1.5,-0.60594315245478
8,rural,west,1-10,no,no,yes,yes,yes,no,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,some students,some students,none,none,none,some languages,some students,some students,8.5,3,1,4,0.5,0.266149870801033,0.0594315245478034,-0.143841515934539,1.0947459086994,-0.744186046511628,2,-0.10594315245478
9,city,central,100+,yes,no,yes,yes,yes,yes,yes,no,yes,yes,yes,yes,no,no,yes,yes,yes,yes,some students,most or all students,some languages,none,some languages,some languages,few students,some students,15.5,6,4,4,1.5,7.26614987080103,3.0594315245478,2.85615848406546,1.0947459086994,0.255813953488372,4.5,2.39405684754522
10,city,northeast,1-10,no,no,yes,yes,no,no,yes,yes,yes,yes,no,no,no,no,no,no,yes,yes,no students,few students,none,none,some languages,some languages,no students,no students,9,4,2,2,1,0.766149870801034,1.0594315245478,0.856158484065461,-0.905254091300603,-0.244186046511628,2.5,0.39405684754522
11,town,northeast,1-10,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,5,1,0,4,0,-3.23385012919897,-1.9405684754522,-1.14384151593454,1.0947459086994,-1.24418604651163,0.5,-1.60594315245478
12,town,central,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,some students,none,none,some languages,some languages,no students,no students,6,1,1,3,1,-2.23385012919897,-1.9405684754522,-0.143841515934539,0.0947459086993971,-0.244186046511628,1,-1.10594315245478
13,rural,central,1-10,no,no,no,yes,no,no,no,no,yes,no,no,no,no,no,no,no,no,yes,no students,no students,,,,,,,3,1,1,1,0,-5.23385012919897,-1.9405684754522,-0.143841515934539,-1.9052540913006,-1.24418604651163,0.5,-1.60594315245478
14,suburb,northeast,100+,no,no,yes,yes,no,no,yes,no,no,yes,no,no,no,no,yes,yes,no,yes,no students,few students,some languages,some languages,none,some languages,no students,few students,8.5,3,1,3,1.5,0.266149870801033,0.0594315245478034,-0.143841515934539,0.0947459086993971,0.255813953488372,2,-0.10594315245478
15,suburb,northeast,11-100,no,no,yes,no,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,no students,no students,none,none,some languages,some languages,no students,no students,5,1,1,2,1,-3.23385012919897,-1.9405684754522,-0.143841515934539,-0.905254091300603,-0.244186046511628,1,-1.10594315245478
16,rural,northeast,1-10,no,no,yes,yes,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,most or all students,,,,,,,8,3,1,4,0,-0.233850129198967,0.0594315245478034,-0.143841515934539,1.0947459086994,-1.24418604651163,2.5,0.39405684754522
17,town,west,1-10,no,no,yes,no,no,no,no,no,no,no,no,no,no,no,no,no,yes,yes,no students,few students,,,,,,,3,1,0,2,0,-5.23385012919897,-1.9405684754522,-1.14384151593454,-0.905254091300603,-1.24418604651163,1,-1.10594315245478
18,rural,west,1-10,no,no,no,yes,no,no,yes,no,no,no,no,no,no,no,yes,yes,yes,yes,no students,no students,,,,,,,6,2,0,4,0,-2.23385012919897,-0.940568475452197,-1.14384151593454,1.0947459086994,-1.24418604651163,1,-1.10594315245478
19,town,west,11-100,no,no,yes,yes,yes,yes,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,no students,some students,none,none,none,all languages,no students,no students,11,5,1,4,1,2.76614987080103,2.0594315245478,-0.143841515934539,1.0947459086994,-0.244186046511628,3.5,1.39405684754522
20,suburb,northeast,11-100,no,no,yes,no,no,no,yes,no,yes,no,no,no,no,no,yes,no,yes,yes,no students,no students,some languages,none,all languages,all languages,no students,no students,8.5,2,1,3,2.5,0.266149870801033,-0.940568475452197,-0.143841515934539,0.0947459086993971,1.25581395348837,1.5,-0.60594315245478
21,rural,southeast,1-10,no,no,no,yes,no,no,yes,no,no,no,no,yes,no,no,yes,yes,yes,yes,few students,few students,none,none,all languages,all languages,no students,no students,9,2,1,4,2,0.766149870801034,-0.940568475452197,-0.143841515934539,1.0947459086994,0.755813953488372,1,-1.10594315245478
22,suburb,west,11-100,no,no,yes,no,no,yes,no,no,yes,no,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,none,none,no students,no students,7,2,1,4,0,-1.23385012919897,-0.940568475452197,-0.143841515934539,1.0947459086994,-1.24418604651163,2,-0.10594315245478
23,rural,southeast,100+,no,no,yes,yes,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,few students,none,none,some languages,all languages,no students,no students,10.5,3,2,4,1.5,2.26614987080103,0.0594315245478034,0.856158484065461,1.0947459086994,0.255813953488372,2,-0.10594315245478
24,city,west,100+,no,no,yes,no,no,no,yes,no,yes,no,no,yes,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,all languages,all languages,no students,few students,11,2,2,4,3,2.76614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,1.75581395348837,1.5,-0.60594315245478
25,town,west,11-100,no,no,yes,no,no,no,yes,no,yes,yes,no,no,no,no,yes,yes,yes,yes,no students,few students,some languages,some languages,some languages,some languages,no students,no students,10,2,2,4,2,1.76614987080103,-0.940568475452197,0.856158484065461,1.0947459086994,0.755813953488372,1.5,-0.60594315245478
26,city,central,100+,no,no,yes,no,no,yes,yes,no,yes,yes,yes,no,no,no,yes,yes,yes,yes,few students,most or all students,some languages,some languages,all languages,some languages,few students,some students,12.5,3,3,4,2.5,4.26614987080103,0.0594315245478034,1.85615848406546,1.0947459086994,1.25581395348837,2.5,0.39405684754522
27,rural,southeast,1-10,no,no,no,no,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,no students,no students,,,,,,,1,1,0,0,0,-7.23385012919897,-1.9405684754522,-1.14384151593454,-2.9052540913006,-1.24418604651163,0.5,-1.60594315245478
28,suburb,central,1-10,no,no,yes,yes,yes,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,,,,,,,5,4,0,1,0,-3.23385012919897,1.0594315245478,-1.14384151593454,-1.9052540913006,-1.24418604651163,2.5,0.39405684754522
29,city,central,11-100,no,no,no,yes,no,no,no,no,yes,no,no,yes,no,no,yes,yes,yes,no,few students,few students,none,none,none,none,no students,no students,6,1,2,3,0,-2.23385012919897,-1.9405684754522,0.856158484065461,0.0947459086993971,-1.24418604651163,0.5,-1.60594315245478
30,city,west,100+,no,no,yes,no,no,yes,yes,no,no,no,no,no,no,no,yes,no,no,yes,few students,some students,none,none,none,some languages,no students,no students,5.5,3,0,2,0.5,-2.73385012919897,0.0594315245478034,-1.14384151593454,-0.905254091300603,-0.744186046511628,2.5,0.39405684754522
31,suburb,central,11-100,no,no,yes,yes,no,no,no,no,yes,no,no,no,no,no,no,no,yes,yes,few students,most or all students,some languages,none,some languages,some languages,no students,no students,6.5,2,1,2,1.5,-1.73385012919897,-0.940568475452197,-0.143841515934539,-0.905254091300603,0.255813953488372,1.5,-0.60594315245478
32,suburb,northeast,11-100,no,no,yes,yes,no,no,yes,no,no,no,no,no,no,no,no,no,no,yes,no students,no students,none,none,none,none,no students,no students,4,3,0,1,0,-4.23385012919897,0.0594315245478034,-1.14384151593454,-1.9052540913006,-1.24418604651163,2,-0.10594315245478
